Campaign,Ad Group,Ad type,Status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Description 1 position,Labels
EN-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/apply?utm_source=google&utm_medium=cpc&utm_campaign=en-transactional&utm_content=arrival-card-generic,arrival-card,assistance,Indonesia Arrival Card Help,Arrival Card Prepared For You,We Check Every Field,Delivered In Under 12 Hours,QR Code Emailed To You,No Hidden Fees At Checkout,Family & Group Pricing,Private Assistance Service,Not A Government Website,From $24.90 Per Traveler,Price Shown Before You Start,"Human-Checked, Sent By Email",Free 72-Hour Window Reminder,Support 07:00–23:00 WIB,Full Refund If Delivered Late,1,"Private assistance service, not affiliated with any government website. Price shown first.","Arrival card assistance from $24.90 per traveler, $14.90 each extra. No hidden fees.","Plain-language form. Passport, flight, health and customs checked before submission.","A person checks every field, submits inside the 72-hour window and emails your QR code.",1,mode-A-authorized-only
EN-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/apply?utm_source=google&utm_medium=cpc&utm_campaign=en-transactional&utm_content=bali-arrival-card,bali,arrival-card,Bali Arrival Card Help,Landing In Bali? Card Prepared,"Bali Arrival Card, Checked",QR Code Before You Fly To Bali,Express Option Under 2 Hours,Works On Your Phone,"Bali, Jakarta, All Airports",Private Assistance Service,Not A Government Website,From $24.90 Per Traveler,Price Shown Before You Start,"Human-Checked, Sent By Email",Free 72-Hour Window Reminder,Support 07:00–23:00 WIB,Full Refund If Delivered Late,1,"Private assistance service, not affiliated with any government website. Price shown first.",Flying to Bali? We prepare and check your arrival card and email the QR before you land.,From $24.90 per traveler. Express under 2 hours. Support daily 07:00–23:00 Jakarta time.,"A person checks every field, submits inside the 72-hour window and emails your QR code.",1,mode-A-authorized-only
EN-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/evoa?utm_source=google&utm_medium=cpc&utm_campaign=en-transactional&utm_content=evoa,evoa,assistance,Indonesia e-VOA Assistance,e-VOA From $70.90 Incl. Fee,"Visa Fee IDR 500,000 Itemised",Apply Up To 90 Days Ahead,Passport & Photo Checked,"30 Days, Extendable Once",Bundle With Arrival Card,Private Assistance Service,Not A Government Website,From $24.90 Per Traveler,Price Shown Before You Start,"Human-Checked, Sent By Email",Free 72-Hour Window Reminder,Support 07:00–23:00 WIB,Full Refund If Delivered Late,1,"Private assistance service, not affiliated with any government website. Price shown first.","e-VOA assistance $70.90 per traveler: $39.90 service fee plus IDR 500,000 visa fee.","Passport and photo checked, e-VOA lodged, approval emailed. 30 days, extendable once.","A person checks every field, submits inside the 72-hour window and emails your QR code.",1,mode-A-authorized-only
EN-Transactional,family-children,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/apply?utm_source=google&utm_medium=cpc&utm_campaign=en-transactional&utm_content=family-children,family,arrival-card,Arrival Cards For The Family,"One Card Per Traveler, Done",Kids & Infants Included,$14.90 Each Extra Traveler,Group Of Up To 10 Travelers,No Copy-Paste Passport Errors,All QR Codes In One Email,Private Assistance Service,Not A Government Website,From $24.90 Per Traveler,Price Shown Before You Start,"Human-Checked, Sent By Email",Free 72-Hour Window Reminder,Support 07:00–23:00 WIB,Full Refund If Delivered Late,1,"Private assistance service, not affiliated with any government website. Price shown first.","One card per person, babies included. First traveler $24.90, each additional $14.90.","All cards from one form, every QR code in one email. No passport number mix-ups.","A person checks every field, submits inside the 72-hour window and emails your QR code.",1,mode-A-authorized-only
EN-Informational,how-to-fill,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/reminder?utm_source=google&utm_medium=cpc&utm_campaign=en-informational&utm_content=how-to-fill,guide,72-hours,How To Fill The Arrival Card,When To Apply: 72-Hour Rule,We Email You When It Opens,Every Question Explained,"Portal And App, Step By Step",Health & Customs Sections,Set A Free Reminder Today,Private Assistance Service,Not A Government Website,Free Step-By-Step Guide,Free 72-Hour Window Reminder,Updated September 2026,Links To The Official Portal,"No Account, No Payment Now",Plain-Language Explanations,1,"Private assistance service, not affiliated with any government website. Free guide.","Step-by-step arrival card guide: what you need, the 72-hour rule, every declaration.","Free reminder for your arrival date. Two emails at most, no account, easy unsubscribe.",The portal opens only 72 h before arrival. We email you the moment your window opens.,1,mode-B-informational
EN-Informational,app-problems,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/guide?utm_source=google&utm_medium=cpc&utm_campaign=en-informational&utm_content=app-problems,guide,app-fixes,All Indonesia App Not Working?,QR Code Not Received? Fixes,10 Known Problems And Fixes,Wrong Date? Here Is What To Do,Retrieve A Lost QR Code,App Crashing? Use The Website,Login Loop And Email Issues,Private Assistance Service,Not A Government Website,Free Step-By-Step Guide,Free 72-Hour Window Reminder,Updated September 2026,Links To The Official Portal,"No Account, No Payment Now",Plain-Language Explanations,1,"Private assistance service, not affiliated with any government website. Free guide.","App crashing, QR not received, wrong date, login loop: ten known problems and their fixes.","Free guide updated September 2026, with links to the official portal and retrieve page.",The portal opens only 72 h before arrival. We email you the moment your window opens.,1,mode-B-informational
EN-Informational,customs-declaration,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/customs?utm_source=google&utm_medium=cpc&utm_campaign=en-informational&utm_content=customs-declaration,customs,allowances,Indonesia Customs Declaration,What You Must Declare,USD 500 Allowance Explained,Alcohol & Tobacco Limits,IDR 100 Million Cash Rule,Phone IMEI Registration,Quick Declare-Or-Not Check,Private Assistance Service,Not A Government Website,Free Step-By-Step Guide,Free 72-Hour Window Reminder,Updated September 2026,Links To The Official Portal,"No Account, No Payment Now",Plain-Language Explanations,1,"Private assistance service, not affiliated with any government website. Free guide.","Indonesia customs rules: USD 500 goods, 1 litre alcohol, 200 cigarettes, IDR 100M cash.",Quick check: declare or not. Plus IMEI registration for phones used over 90 days.,The portal opens only 72 h before arrival. We email you the moment your window opens.,1,mode-B-informational
EN-Informational,transit,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/reminder?utm_source=google&utm_medium=cpc&utm_campaign=en-informational&utm_content=transit,transit,arrival-card,Arrival Card For Transit,Do You Need One On A Layover?,Cruise & Ferry Arrivals Too,Batam Ferry: Card Required,Jakarta Or Bali Connections,Rules Explained In Plain Words,Free Reminder For Your Date,Private Assistance Service,Not A Government Website,Free Step-By-Step Guide,Free 72-Hour Window Reminder,Updated September 2026,Links To The Official Portal,"No Account, No Payment Now",Plain-Language Explanations,1,"Private assistance service, not affiliated with any government website. Free guide.","Transit, cruise or ferry into Indonesia: when the arrival card is required and when not.",Free reminder for your date. We email you when the 72-hour window opens. No payment now.,The portal opens only 72 h before arrival. We email you the moment your window opens.,1,mode-B-informational
DE-Transactional,arrival-card-generic,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/apply?utm_source=google&utm_medium=cpc&utm_campaign=de-transactional&utm_content=arrival-card-generic,arrival-card,assistance,Einreisekarte Indonesien Hilfe,Einreisekarte für Sie erstellt,Wir prüfen jedes Feld,Lieferung in unter 12 Stunden,QR-Code per E-Mail,Keine versteckten Gebühren,Familien- & Gruppenpreise,Privater Assistenzdienst,Keine Regierungswebsite,"Ab 24,90 $ pro Reisenden",Preis vor der Eingabe sichtbar,Von Menschen geprüft,Gratis 72-Stunden-Erinnerung,Support 07–23 Uhr Jakarta,Erstattung bei Verspätung,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Preis zuerst sichtbar.","Ab 24,90 $ pro Reisenden, 14,90 $ je weitere Person. Keine versteckten Gebühren.","Formular auf Deutsch. Pass, Flug, Gesundheit und Zoll werden vor dem Einreichen geprüft.","Ein Mensch prüft jedes Feld, reicht im 72-Stunden-Fenster ein und mailt Ihnen den QR-Code.",1,mode-A-authorized-only
DE-Transactional,bali-arrival-card,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/apply?utm_source=google&utm_medium=cpc&utm_campaign=de-transactional&utm_content=bali-arrival-card,bali,arrival-card,Einreisekarte Bali Hilfe,Bali-Einreisekarte erstellt,Bali-Einreisekarte geprüft,QR-Code vor dem Abflug,Express in unter 2 Stunden,Auf dem Handy ausfüllen,"Bali, Jakarta, alle Flughäfen",Privater Assistenzdienst,Keine Regierungswebsite,"Ab 24,90 $ pro Reisenden",Preis vor der Eingabe sichtbar,Von Menschen geprüft,Gratis 72-Stunden-Erinnerung,Support 07–23 Uhr Jakarta,Erstattung bei Verspätung,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Preis zuerst sichtbar.",Flug nach Bali? Wir erstellen und prüfen Ihre Einreisekarte und mailen den QR-Code vorab.,"Ab 24,90 $ pro Reisenden. Express unter 2 Stunden. Support täglich 07–23 Uhr Jakarta-Zeit.","Ein Mensch prüft jedes Feld, reicht im 72-Stunden-Fenster ein und mailt Ihnen den QR-Code.",1,mode-A-authorized-only
DE-Transactional,evoa,Responsive search ad,Paused,https://allindonesia-arrivalcard.com/de/evoa?utm_source=google&utm_medium=cpc&utm_campaign=de-transactional&utm_content=evoa,evoa,assistance,Indonesien e-VOA Assistenz,"e-VOA ab 70,90 $ inkl. Gebühr",Visagebühr 500.000 IDR separat,Bis 90 Tage im Voraus,Pass & Foto geprüft,"30 Tage, einmal verlängerbar",Bundle mit Einreisekarte,Privater Assistenzdienst,Keine Regierungswebsite,"Ab 24,90 $ pro Reisenden",Preis vor der Eingabe sichtbar,Von Menschen geprüft,Gratis 72-Stunden-Erinnerung,Support 07–23 Uhr Jakarta,Erstattung bei Verspätung,1,"Privater Assistenzdienst, mit keiner Regierungswebsite verbunden. Preis zuerst sichtbar.","e-VOA-Assistenz 70,90 $ pro Person: 39,90 $ Servicegebühr plus 500.000 IDR Visagebühr.","Wir prüfen Pass und Foto, reichen das e-VOA ein und mailen die Genehmigung. 30 Tage.","Ein Mensch prüft jedes Feld, reicht im 72-Stunden-Fenster ein und mailt Ihnen den QR-Code.",1,mode-A-authorized-only
